vlc-2.0.5/modules/video_filter/deinterlace/mmx.h;40;error;syntaxError;syntax error
vlc-2.0.5/modules/video_filter/osdmenu.c;189;error;nullPointer;Possible null pointer dereference: p_sys
vlc-2.0.5/modules/video_filter/sepia.c;341;error;uninitvar;Uninitialized variable: i_picture_size_limit
vlc-2.0.5/modules/video_output/xcb/window.c;509;error;memleakOnRealloc;Common realloc mistake: 'used' nulled but not freed upon failure
vlc-2.0.5/src/input/item.c;557;error;memleak;Memory leak: p_info
vlc-2.0.5/src/input/es_out.c;1278;error;memleak;Memory leak: p_pgrm
vlc-2.0.5/src/input/es_out.c;2319;error;memleak;Memory leak: p_pgrm
vlc-2.0.5/src/modules/cache.c;655;error;memleakOnRealloc;Common realloc mistake: 'cache' nulled but not freed upon failure
vlc-2.0.5/src/playlist/services_discovery.c;117;error;doubleFree;Memory pointed to by 'p_sd' is freed twice.
vlc-2.0.5/src/playlist/services_discovery.c;119;error;deallocuse;Dereferencing 'p_sd' after it is deallocated / released
vlc-2.0.5/src/playlist/services_discovery.c;127;error;deallocret;Returning/dereferencing 'p_sd' after it is deallocated / released
vlc-2.0.5/src/video_output/display.c;1658;error;autoVariables;Address of local auto-variable assigned to a function parameter.
vlc-2.0.5/src/video_output/video_text.c;139;error;memleak;Memory leak: sys.text
